Class,Increases Likes,Posts Count,Clustering Size 2,Clustering Size 3,Clustering Size 5,Clustering Size 2 Posts Count,Clustering Size 3 Posts Count,Clustering Size 5 Posts Count
Asphalt,False,79,0,0,0,1043,442,381
Automotive tire,False,83,0,0,0,1043,442,381
Cloud,False,136,0,0,0,1043,442,381
Helmet,False,52,0,0,0,1043,442,381
Motor vehicle,False,177,0,0,0,1043,442,381
Motorcycle,False,45,0,0,0,1043,442,381
Sky,False,272,0,0,0,1043,442,381
Tire,False,99,0,0,0,1043,442,381
Vehicle,False,125,0,0,0,1043,442,381
Wheel,False,85,0,0,0,1043,442,381
Tree,False,168,0,0,2,1043,442,776
Crowd,False,271,0,2,2,1043,1146,776
Hat,False,405,0,2,2,1043,1146,776
Person,False,747,0,2,4,1043,1146,968
Car,False,49,1,0,0,1315,442,381
Infrastructure,False,35,1,0,0,1315,442,381
Plant,False,129,1,0,1,1315,442,944
Automotive lighting,False,32,1,1,1,1315,1141,944
Baseball cap,False,58,1,1,1,1315,1141,944
Bicycles--Equipment and supplies,False,12,1,1,1,1315,1141,944
Building,False,60,1,1,1,1315,1141,944
Cap,False,53,1,1,1,1315,1141,944
City,False,66,1,1,1,1315,1141,944
Jacket,False,35,1,1,1,1315,1141,944
Jeans,False,44,1,1,1,1315,1141,944
Land vehicle,False,24,1,1,1,1315,1141,944
Mode of transport,False,17,1,1,1,1315,1141,944
Motorcycle helmet,False,15,1,1,1,1315,1141,944
Public space,False,31,1,1,1,1315,1141,944
Shirt,False,59,1,1,1,1315,1141,944
Street light,False,19,1,1,1,1315,1141,944
Team,False,15,1,1,1,1315,1141,944
Thoroughfare,False,24,1,1,1,1315,1141,944
Trousers,False,35,1,1,1,1315,1141,944
Adaptation,True,55,1,1,1,1315,1141,944
Display device,True,36,1,1,1,1315,1141,944
Electric blue,True,38,1,1,1,1315,1141,944
Eyebrow,True,59,1,1,1,1315,1141,944
Eyewear,True,47,1,1,1,1315,1141,944
Face,True,8,1,1,1,1315,1141,944
Facial expression,True,28,1,1,1,1315,1141,944
Finger,True,14,1,1,1,1315,1141,944
Formal wear,True,63,1,1,1,1315,1141,944
Glasses,True,86,1,1,1,1315,1141,944
Hair,True,18,1,1,1,1315,1141,944
Head,True,30,1,1,1,1315,1141,944
Human,True,56,1,1,1,1315,1141,944
Jaw,True,77,1,1,1,1315,1141,944
Lip,True,10,1,1,1,1315,1141,944
Muscle,True,44,1,1,1,1315,1141,944
News,True,56,1,1,1,1315,1141,944
Nose,True,49,1,1,1,1315,1141,944
Official,True,22,1,1,1,1315,1141,944
Organism,True,35,1,1,1,1315,1141,944
Sad,True,29,1,1,1,1315,1141,944
Screenshot,True,70,1,1,1,1315,1141,944
Technology,True,61,1,1,1,1315,1141,944
Television presenter,True,28,1,1,1,1315,1141,944
Television program,True,25,1,1,1,1315,1141,944
Terrestrial plant,True,59,1,1,1,1315,1141,944
Thumb,True,19,1,1,1,1315,1141,944
Blazer,True,149,1,1,3,1315,1141,804
Chin,True,105,1,1,3,1315,1141,804
Collar,True,179,1,1,3,1315,1141,804
Dress shirt,True,164,1,1,3,1315,1141,804
Font,True,300,1,1,3,1315,1141,804
Forehead,True,175,1,1,3,1315,1141,804
Gesture,True,308,1,1,3,1315,1141,804
Microphone,True,155,1,1,3,1315,1141,804
Sleeve,True,165,1,1,3,1315,1141,804
Smile,True,150,1,1,3,1315,1141,804
Spokesperson,True,126,1,1,3,1315,1141,804
Tie,True,257,1,1,3,1315,1141,804
Event,False,461,1,2,2,1315,1146,776
Fan,False,182,1,2,2,1315,1146,776
Leisure,False,236,1,2,2,1315,1146,776
T-shirt,False,187,1,2,2,1315,1146,776
Joy,True,527,1,2,4,1315,1146,968
