Class,Increases Likes,Posts Count,Clustering Size 5,Clustering Size 3,Clustering Size 6,Clustering Size 5 Posts Count,Clustering Size 3 Posts Count,Clustering Size 6 Posts Count
Bookcase,False,15,0,0,0,17,17,17
Shelf,False,16,0,0,0,17,17,17
Shelving,False,10,0,0,0,17,17,17
Eye,True,7,1,1,5,125,239,34
Official,True,12,1,1,5,125,239,34
Television program,True,15,1,1,5,125,239,34
Landscape,False,19,3,1,3,38,239,38
Natural landscape,False,14,3,1,3,38,239,38
Water,False,15,3,1,3,38,239,38
Wood,False,13,3,1,3,38,239,38
Font,False,181,4,1,4,181,239,181
Toddler,False,1,4,1,4,181,239,181
Blazer,True,76,1,2,1,125,298,114
Coat,True,43,1,2,1,125,298,114
Spokesperson,True,60,1,2,1,125,298,114
Person,True,242,2,2,2,289,298,289
Tie,True,129,2,2,2,289,298,289
